"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2000",1.724827,
"AUS","EXCH","TOT","NATUSD","A","2001",1.933443,
"AUS","EXCH","TOT","NATUSD","A","2002",1.840563,
"AUS","EXCH","TOT","NATUSD","A","2003",1.541914,
"AUS","EXCH","TOT","NATUSD","A","2004",1.359752,
"AUS","EXCH","TOT","NATUSD","A","2005",1.309473,
"AUS","EXCH","TOT","NATUSD","A","2006",1.327973,
"AUS","EXCH","TOT","NATUSD","A","2007",1.195073,
"AUS","EXCH","TOT","NATUSD","A","2008",1.192178,
"AUS","EXCH","TOT","NATUSD","A","2009",1.282189,
"AUS","EXCH","TOT","NATUSD","A","2010",1.090159,
"AUS","EXCH","TOT","NATUSD","A","2011",0.969463,
"AUS","EXCH","TOT","NATUSD","A","2012",0.965801,
"AUS","EXCH","TOT","NATUSD","A","2013",1.035843,
"AUS","EXCH","TOT","NATUSD","A","2014",1.109363,
"AUS","EXCH","TOT","NATUSD","A","2015",1.33109,
"AUS","EXCH","TOT","NATUSD","A","2016",1.345214,
"AUT","EXCH","TOT","NATUSD","A","2000",1.085401,
"AUT","EXCH","TOT","NATUSD","A","2001",1.11751,
"AUT","EXCH","TOT","NATUSD","A","2002",1.062552,
"AUT","EXCH","TOT","NATUSD","A","2003",0.886034,
"AUT","EXCH","TOT","NATUSD","A","2004",0.805365,
"AUT","EXCH","TOT","NATUSD","A","2005",0.80412,
"AUT","EXCH","TOT","NATUSD","A","2006",0.797141,
"AUT","EXCH","TOT","NATUSD","A","2007",0.730638,
"AUT","EXCH","TOT","NATUSD","A","2008",0.682675,
"AUT","EXCH","TOT","NATUSD","A","2009",0.719843,
"AUT","EXCH","TOT","NATUSD","A","2010",0.755045,
"AUT","EXCH","TOT","NATUSD","A","2011",0.719355,
"AUT","EXCH","TOT","NATUSD","A","2012",0.778294,
"AUT","EXCH","TOT","NATUSD","A","2013",0.753159,
"AUT","EXCH","TOT","NATUSD","A","2014",0.753731,
"AUT","EXCH","TOT","NATUSD","A","2015",0.901659,
"AUT","EXCH","TOT","NATUSD","A","2016",0.904035,
"BEL","EXCH","TOT","NATUSD","A","2000",1.085401,
"BEL","EXCH","TOT","NATUSD","A","2001",1.11751,
"BEL","EXCH","TOT","NATUSD","A","2002",1.062552,
"BEL","EXCH","TOT","NATUSD","A","2003",0.886034,
"BEL","EXCH","TOT","NATUSD","A","2004",0.805365,
"BEL","EXCH","TOT","NATUSD","A","2005",0.80412,
"BEL","EXCH","TOT","NATUSD","A","2006",0.797141,
"BEL","EXCH","TOT","NATUSD","A","2007",0.730638,
"BEL","EXCH","TOT","NATUSD","A","2008",0.682675,
"BEL","EXCH","TOT","NATUSD","A","2009",0.719843,
"BEL","EXCH","TOT","NATUSD","A","2010",0.755045,
"BEL","EXCH","TOT","NATUSD","A","2011",0.719355,
"BEL","EXCH","TOT","NATUSD","A","2012",0.778294,
"BEL","EXCH","TOT","NATUSD","A","2013",0.753159,
"BEL","EXCH","TOT","NATUSD","A","2014",0.753731,
"BEL","EXCH","TOT","NATUSD","A","2015",0.901659,
"BEL","EXCH","TOT","NATUSD","A","2016",0.904035,
"CAN","EXCH","TOT","NATUSD","A","2000",1.48511,
"CAN","EXCH","TOT","NATUSD","A","2001",1.548761,
"CAN","EXCH","TOT","NATUSD","A","2002",1.569318,
"CAN","EXCH","TOT","NATUSD","A","2003",1.401052,
"CAN","EXCH","TOT","NATUSD","A","2004",1.301019,
"CAN","EXCH","TOT","NATUSD","A","2005",1.211763,
"CAN","EXCH","TOT","NATUSD","A","2006",1.134363,
"CAN","EXCH","TOT","NATUSD","A","2007",1.074099,
"CAN","EXCH","TOT","NATUSD","A","2008",1.06704,
"CAN","EXCH","TOT","NATUSD","A","2009",1.143101,
"CAN","EXCH","TOT","NATUSD","A","2010",1.030163,
"CAN","EXCH","TOT","NATUSD","A","2011",0.989531,
"CAN","EXCH","TOT","NATUSD","A","2012",0.999188,
"CAN","EXCH","TOT","NATUSD","A","2013",1.029797,
"CAN","EXCH","TOT","NATUSD","A","2014",1.106105,
"CAN","EXCH","TOT","NATUSD","A","2015",1.279098,
"CAN","EXCH","TOT","NATUSD","A","2016",1.3254,
"CZE","EXCH","TOT","NATUSD","A","2000",38.598417,
"CZE","EXCH","TOT","NATUSD","A","2001",38.035328,
"CZE","EXCH","TOT","NATUSD","A","2002",32.738518,
"CZE","EXCH","TOT","NATUSD","A","2003",28.209,
"CZE","EXCH","TOT","NATUSD","A","2004",25.69975,
"CZE","EXCH","TOT","NATUSD","A","2005",23.957417,
