name	orig	note
Aalto-yliopisto	Aalto-yliopisto	
Association for Computer Machinery (ACM)	ACM	Should be cross-checked
Adato Energia Oy	Adata Energia Oy	
Adato Energia Oy	Adato Energia Oy	
Adelaide Research & Innovation	Adelaide Research & Innovation	
AIAA	AIAA	
AIP/APS	AIP	
AIP/APS	AIP/APS	
AIP/APS	American Institute of Physics	
AIP/APS	American Institute of Physics (AIP)	
AIP/APS	American Physical Society	
AIP/APS	American Physical Society (APS)	
AIP/APS	APS	
Alexander Street Press	Alexander Street Press	
Alma Media	Alma Media	
American Association for Cancer Research (AACR) /Ebsco	AACR	
American Association for Cancer Research (AACR) /Ebsco	American Association for Cancer Research (AACR) /Ebsco	
American Association for the Advancement of Science (AAAS)	AAAS	
American Association for the Advancement of Science (AAAS)	American Association for the Advancement of Science (AAAS)	
American Chemical Society (ACS)	ACS	
American Chemical Society (ACS)	American Chemical Society	
American Chemical Society (ACS)	American Chemical Society (ACS)	
American Council of Learned Societies (ACLS)	American Council of Learned Societies (ACLS)	
American Dietetic Association (ADA)	American Dietetic Association	
American Dietetic Association (ADA)	American Dietetic Association (ADA)	
American Economic Association	American Economic Association	
American Geosciences Institute (AGI)	American Geosciences Institute (AGI)	
AMERICAN JOURNAL OF PUBLIC HEALTH	AMERICAN JOURNAL OF PUBLIC HEALTH	
American Mathematical Society (AMS)	American Mathematical Society	
American Mathematical Society (AMS)	American Mathematical Society (AMS)	
American Medical Association (AMA)	American Medical Association	
American Medical Association (AMA)	American Medical Association (AMA)	
AMERICAN PHYSIOLOGICAL SOCIETY	AMERICAN PHYSIOLOGICAL SOCIETY	
AMERICAN PSYCHIATRIC ASSOCIATION PUBLISHING	AMERICAN PSYCHIATRIC ASSOCIATION PUBLISHING	
American Society for Nutrition	American Society for Nutrition	     
American Society Microbiology (ASM)	American Society Microbiology (ASM)	
American Society of Agronomy	American Society of Agronomy	
American Society of Civil Engineers (ASCE)	American Society of Civil Engineers (ASCE)	
American Society of Mechanic Engineers (ASME)	American Society of Mechanic Engineers (ASME)	
American Society Of Mechanical Engineers (ASME)	American Society Of Mechanical Engineers (ASME)	
American Society of Microbiology	American Society of Microbiology	
American Society of Animal Science	American Society of Animal Science	
American Statistical Association	American Statistical Association	
AMERICAN THORACIC SOCIETY	AMERICAN THORACIC SOCIETY	
Annual Reviews	Annual Reviews	
ANNUAL REVIEWS	ANNUAL REVIEWS	
Artstor	Artstor	
Asiantuntijaosuuskunta Ornanet	Asiantuntijaosuuskunta Ornanet	
ASM International	ASM International	
Association for Computer Machinery (ACM)	Association for Computer Machinery (ACM)	
Association for the Advancement of Computing in Education (AACE)	Association for the Advancement of Computing in Education (AACE)	
Association of Asian Studies (AAS)	Association of Asian Studies (AAS)	
Axiell Media	Axiell Media	
BabelScores	BabelScores	
Backpages LTD	Backpages LTD	
Beck	Beck	
Benjamins	Benjamins	
Biering & Brinkmann Verlag	Biering & Brinkmann Verlag	
BioMedCentral	BioMedCentral	
BioOne	BioOne	
Bloomberg BNA	Bloomberg BNA	
Bloomsbury Publishing	Bloomsbury Publishing	
Bloomsbury Publishing	Bloomsbury Publishing / Churchill Archives Centre	
BMJ Group	BMJ Group	
Bonnier	Bonnier	
Bonnier Business Forum Oy	Bonnier Business Forum Oy	
Booky.fi Oy	Booky.fi Oy	
Brepolis Medieval bibliographies	Brepolis Medieval bibliographies	
Brepols	Brepols	
Brill	Brill	
Britannica	Britannica / Wize Nordic	
Britannica	Britannica /LM Info	
British Medical Journal	British Medical Journal	
Brockhaus NE GmbH	Brockhaus NE GmbH	
BTJ Kirjastopalvelu	BTJ Kirjastopalvelu	
Bureau van Dijk	Bureau van Dijk	
Burgundy	Burgundy	
Cairn	Cairn	
Cambridge University Press	Cambridge University Press	
Canadian Science Publishing	Canadian Science Publishing	
Carl Hanser Verlag	Carl Hanser Verlag	
CEDROM-SNI	CEDROM-SNI	
Cengage	Cengage	
Cengage Learning	Cengage Learning	
Centre for Agriculture and Biosciences International (CABI)	Centre for Agriculture and Biosciences International (CABI)	
Centre for Economic Policy Research (CEPR)	Centre for Economic Policy Research (CEPR)	
Centre for Economic Policy Research (CEPR)	CEPR	
Centre for Policy Research	Centre for Policy Research	
Chemical Abstracts Service (CAS)	Chemical Abstracts Service (CAS)	
Clarivate Analytics	Clarivate Analytics	
Cleo OpenEdition	Cleo OpenEdition	
CNRS	CNRS	
CNRS	CNRS (INIST)	
Communication Institute for Online Scholarship (CIOS)	Communication Institute for Online Scholarship (CIOS)	
CompOpus	CompOpus	
Consortium Erudit	Consortium Erudit	
Crnet	Crnet Corporate	
Crnet	Crnet Corporate Responsibility Network	
Crnet	Crnet Oy	
CSC - Tieteen tietotekniikan keskus	CSC - Tieteen tietotekniikan keskus	
CSH Press	CSH Press	
CSIRO Publishing	CSIRO Publishing	
Cyberlibris	Cyberlibris	
Dalloz	Dalloz	
Datamonitor	Datamonitor	
Dawson Books	Dawson Books	
Dawsonera	Dawsonera	
De Gruyter	De Gruyter	
Delbanco	Delbanco	
Dictionnaires Le Robert	Dictionnaires Le Robert	
DigiZeitschriften	DigiZeitschriften	
Docutech Ltd	Docutech Ltd	
DRAM 	DRAM 	
Duodecim	Duodecim	
East View	East View	
East View	East View Information Services	
EBSCO/SAGE/WILSON	Ebsco	
EBSCO/SAGE/WILSON	EBSCO	
