Country	Year	Organization	Publisher	Material	Resource.type	CostUSD	CostEUR	CostNAT	Cost
Chile	2008	NA	American Chemical Society (ACS)	NA	NA	260036	234463.799724	195997.194316	234463.799724
Chile	2008	NA	Annual Reviews	NA	NA	170750	153958.27425	128699.56825	153958.27425
Chile	2008	NA	Elsevier	NA	NA	3122616	2815534.819944	2353612.480296	2815534.819944
Chile	2008	NA	Nature Publishing Group	NA	NA	394900	356065.1391	297648.3719	356065.1391
Chile	2008	NA	Oxford University Press (OUP)	NA	NA	136663	123223.423917	103007.139653	123223.423917
Chile	2008	NA	Science Magazine	NA	NA	NA	NA	NA	NA
Chile	2008	NA	Springer	NA	NA	610000	550011.99	459775.91	550011.99
Chile	2008	NA	Wiley / Blackwell	NA	NA	1439216	1297682.059344	1084781.714896	1297682.059344
Chile	2009	NA	American Chemical Society (ACS)	NA	NA	273000	246152.907	205768.563	246152.907
Chile	2009	NA	Annual Reviews	NA	NA	101850	91833.96915	76767.50235	91833.96915
Chile	2009	NA	Elsevier	NA	NA	3424784	3087987.316656	2581365.869104	3087987.316656
Chile	2009	NA	Nature Publishing Group	NA	NA	710852	640946.103468	535791.188812	640946.103468
Chile	2009	NA	Oxford University Press (OUP)	NA	NA	144862	130616.126058	109186.980122	130616.126058
Chile	2009	NA	Science Magazine	NA	NA	NA	NA	NA	NA
Chile	2009	NA	Springer	NA	NA	628300	566512.3497	473569.1873	566512.3497
Chile	2009	NA	Wiley / Blackwell	NA	NA	1522681	1372939.027779	1147691.872811	1372939.027779
Chile	2010	NA	American Chemical Society (ACS)	NA	NA	290100	261571.2759	218657.3631	261571.2759
Chile	2010	NA	Annual Reviews	NA	NA	93983	84740.617797	70837.900573	84740.617797
Chile	2010	NA	Elsevier	NA	NA	3752271	3383268.917589	2828202.973101	3383268.917589
Chile	2010	NA	Nature Publishing Group	NA	NA	753509	679408.171431	567943.092079	679408.171431
Chile	2010	NA	Oxford University Press (OUP)	NA	NA	153555	138454.247745	115739.163705	138454.247745
Chile	2010	NA	Science Magazine	NA	NA	121393	109455.090987	91497.667283	109455.090987
Chile	2010	NA	Springer	NA	NA	647149	583507.720191	487776.262919	583507.720191
Chile	2010	NA	Wiley / Blackwell	NA	NA	1606665	1448663.957235	1210993.217115	1448663.957235
Chile	2011	NA	American Chemical Society (ACS)	NA	NA	304605	274649.839695	229590.231255	274649.839695
Chile	2011	NA	Annual Reviews	NA	NA	91955	82912.053345	69309.334105	82912.053345
Chile	2011	NA	Elsevier	NA	NA	4055629	3656794.388511	3056853.301799	3656794.388511
Chile	2011	NA	Nature Publishing Group	NA	NA	806254	726966.175386	607698.633674	726966.175386
Chile	2011	NA	Oxford University Press (OUP)	NA	NA	158160	142606.38744	119210.09496	142606.38744
Chile	2011	NA	Science Magazine	NA	NA	141683	127749.752097	106790.869273	127749.752097
Chile	2011	NA	Springer	NA	NA	647492	583816.989228	488034.792652	583816.989228
Chile	2011	NA	Wiley / Blackwell	NA	NA	0	0	0	0
Chile	2012	NA	American Chemical Society (ACS)	NA	NA	339942	306511.763778	256224.823602	306511.763778
Chile	2012	NA	Annual Reviews	NA	NA	177960	160459.23564	134133.96876	160459.23564
Chile	2012	NA	Elsevier	NA	NA	4568844	4119539.312196	3443679.356964	4119539.312196
Chile	2012	NA	Nature Publishing Group	NA	NA	1053510	949906.77309	794063.14581	949906.77309
Chile	2012	NA	Oxford University Press (OUP)	NA	NA	180055	162348.211245	135713.035205	162348.211245
Chile	2012	NA	Science Magazine	NA	NA	198173	178684.469007	149369.133463	178684.469007
Chile	2012	NA	Springer	NA	NA	824517	743433.173703	621464.022927	743433.173703
Chile	2012	NA	Wiley / Blackwell	NA	NA	1526217	1376127.294003	1150357.065627	1376127.294003
Chile	2013	NA	American Chemical Society (ACS)	NA	NA	445274	401485.309566	335616.817294	401485.309566
Chile	2013	NA	Annual Reviews	NA	NA	155760	140442.40584	117401.14056	140442.40584
Chile	2013	NA	Elsevier	NA	NA	6340650	5717104.13835	4779144.46515	5717104.13835
Chile	2013	NA	Nature Publishing Group	NA	NA	1103808	995258.417472	831974.307648	995258.417472
Chile	2013	NA	Oxford University Press (OUP)	NA	NA	285335	257274.870765	215065.834885	257274.870765
Chile	2013	NA	Science Magazine	NA	NA	207353	186961.698627	156288.384043	186961.698627
Chile	2013	NA	Springer	NA	NA	926064	834993.940176	698003.144784	834993.940176
Chile	2013	NA	Wiley / Blackwell	NA	NA	1656589	1493678.381151	1248622.483559	1493678.381151
Chile	2014	NA	American Chemical Society (ACS)	NA	NA	467538	421559.845542	352397.884278	421559.845542
Chile	2014	NA	Annual Reviews	NA	NA	168810	152209.05579	127237.33011	152209.05579
Chile	2014	NA	Elsevier	NA	NA	6562132	5916805.376988	4946082.314492	5916805.376988
Chile	2014	NA	Nature Publishing Group	NA	NA	1156000	1042317.804	871313.036	1042317.804
Chile	2014	NA	Oxford University Press (OUP)	NA	NA	313513	282681.818067	236304.467003	282681.818067
Chile	2014	NA	Science Magazine	NA	NA	215510	194316.53109	162436.56781	194316.53109
Chile	2014	NA	Springer	NA	NA	1038984	936809.274456	783114.449304	936809.274456
Chile	2014	NA	Wiley / Blackwell	NA	NA	1572309	1417686.560631	1185098.034879	1417686.560631
Chile	2015	NA	American Chemical Society (ACS)	NA	NA	449930	405683.43387	339126.18883	405683.43387
Chile	2015	NA	Annual Reviews	NA	NA	158715	143106.808185	119628.415665	143106.808185
Chile	2015	NA	Elsevier	NA	NA	7087103	6390150.203877	5341769.231293	6390150.203877
Chile	2015	NA	Nature Publishing Group	NA	NA	1212018	1092826.937862	913535.539158	1092826.937862
Chile	2015	NA	Oxford University Press (OUP)	NA	NA	322918	291161.920962	243393.307058	291161.920962
Chile	2015	NA	Science Magazine	NA	NA	222334	200469.452106	167580.028154	200469.452106
Chile	2015	NA	Springer	NA	NA	1090933	983649.557847	822270.021023	983649.557847
Chile	2015	NA	Wiley / Blackwell	NA	NA	1619478	1460216.914002	1220650.772418	1460216.914002
Finland	2010	HAAGA-HELIA University of Applied Sciences	Aalto-yliopisto	asia; mix (v. 2012 eteenpäin kaikki helecon-tietokannat); online-tietokanavat; scima	reference database	7858.84685895666	7086	5923.45650184826	7086
Finland	2010	Hanken School of Economics	Aalto-yliopisto	heleconmix	reference database	4862.14855061614	4384	3664.75208920446	4384
Finland	2010	Häme University of Applied Sciences (HAMK)	Aalto-yliopisto	helecon (asia ja mix) ja tenttu	reference database	8062.91513754091	7270	6077.26908953385	7270
Finland	2010	University of Eastern Finland	Aalto-yliopisto	mix; scima	reference database	7446.2740348624	6714	5612.48757457087	6714
Finland	2010	Jyväskylä University of Applied Sciences (JAMK)	Aalto-yliopisto	helecon mix; tenttu	reference database	7821.13859008783	7052	5895.03461064549	7052
Finland	2010	University of Jyväskylä	Aalto-yliopisto	helecon mix	reference database	4862.14855061614	4384	3664.75208920446	4384
Finland	2010	Kymenlaakso University of Applied Sciences (KyAMK)	Aalto-yliopisto	helecon mix; tenttu	reference database	7821.13859008783	7052	5895.03461064549	7052
Finland	2010	University of Lapland	Aalto-yliopisto	mix	reference database	4862.14855061614	4384	3664.75208920446	4384
Finland	2010	Finnish Forest Research Institute (Metla)	Aalto-yliopisto	scima	reference database	931.616054406378	840	702.187900303773	840
Finland	2010	Oulu University of Applied Sciences	Aalto-yliopisto	helecon mix; tenttu	reference database	7821.13859008783	7052	5895.03461064549	7052
Finland	2010	Satakunta University of Applied Sciences (SAMK)	Aalto-yliopisto	helecon; tenttu	reference database	9512.46535552798	8577	7169.84002488746	8577
Finland	2010	Savonia University of Applied Sciences	Aalto-yliopisto	helecon mix; tenttu	reference database	7821.13859008783	7052	5895.03461064549	7052
Finland	2010	Seinäjoki University of Applied Sciences (SeAMK)	Aalto-yliopisto	mix; online-tietokanavat; tenttu	reference database	9868.47577631898	8898	7438.17611536068	8898
Finland	2010	Tampere University of Applied Sciences (TAMK)	Aalto-yliopisto	helecon mix; tenttu	reference database	7864.39219261384	7091	5927.63619173102	7091
Finland	2010	VTT Technical Research Centre of Finland	Aalto-yliopisto	asia; mix; tenttu	reference database	5281.37577509901	4762	3980.73664434115	4762
Finland	2010	Turku University of Applied Sciences	Aalto-yliopisto	helecon-mix; tenttu	reference database	7821.13859008783	7052	5895.03461064549	7052
Finland	2010	VAMK University of Applied Sciences	Aalto-yliopisto	tenttu	reference database	3399.28953185184	3065	2562.14989813222	3065
Finland	2010	Åbo Akademi University	Aalto-yliopisto	finp	reference database	4354.19598761838	3926	3281.89249594359	3926
Finland	2010	Tampere University of Applied Sciences (TAMK)	Adato Energia Oy	sähköverkkoekstra	other	524.588563969305	473	395.398662909149	473
Finland	2010	University of Turku	AIP/APS	american physical society -lehtipaketti	full text materials	11773.8524209263	10616	8874.31755907721	10616
Finland	2010	Sibelius Academy	Alexander Street Press	music online	other	5293.57550914481	4773	3989.93196208323	4773
Finland	2010	Aalto University	American Association for the Advancement of Science (AAAS)	science	full text materials	4691.35227397497	4230	3536.01764081543	4230
Finland	2010	Geological Survey of Finland (GTK)	American Association for the Advancement of Science (AAAS)	science online	full text materials	1797.79717165802	1621	1355.05545999097	1621
Finland	2010	University of Helsinki	American Association for the Advancement of Science (AAAS)	science; science classic; science express; science signaling; science translational medicine	full text materials	12820.8114154021	11560	9663.4430089424	11560
Finland	2010	Finnish Meteorological Institute (FMI)	American Association for the Advancement of Science (AAAS)	sci exp; sci online	full text materials	2463.23721051972	2221	1856.61824592224	2221
Finland	2010	University of Eastern Finland	American Association for the Advancement of Science (AAAS)	science online	full text materials	7574.925775709	6830	5709.45637985092	6830
Finland	2010	Agrifood Research Finland (MTT)	American Association for the Advancement of Science (AAAS)	science online	full text materials	1797.79717165802	1621	1355.05545999097	1621
Finland	2010	Finnish Forest Research Institute (Metla)	American Association for the Advancement of Science (AAAS)	science online	full text materials	1797.79717165802	1621	1355.05545999097	1621
Finland	2010	University of Oulu	American Association for the Advancement of Science (AAAS)	science classic; science express; science online	full text materials	5416.68191633422	4884	4082.72107748051	4884
Finland	2010	Finnish Environment Institute (SYKE)	American Association for the Advancement of Science (AAAS)	science online	full text materials	1796.68810492659	1620	1354.21952201442	1620
Finland	2010	Tampere University of Technology	American Association for the Advancement of Science (AAAS)	science online	full text materials	4237.74398081758	3821	3194.11900840562	3821
Finland	2010	University of Tampere	American Association for the Advancement of Science (AAAS)	science express; science online	full text materials	5227.03150525864	4713	3939.7756834901	4713
Finland	2010	VTT Technical Research Centre of Finland	American Association for the Advancement of Science (AAAS)	science magazine online	full text materials	3124.24098245567	2817	2354.8372799473	2817
Finland	2010	National Institute for Health and Welfare	American Association for the Advancement of Science (AAAS)	science; science express	full text materials	4265.47064910349	3846	3215.01745781942	3846
Finland	2010	University of Turku	American Association for the Advancement of Science (AAAS)	science express; science online; science signaling; science classis (ylläpitomaksu)	full text materials	8224.83888033059	7416	6199.31603411046	7416
Finland	2010	Finnish Institute of Occupational Health (FIOH)	American Association for the Advancement of Science (AAAS)	sci online	full text materials	1797.79717165802	1621	1355.05545999097	1621
Finland	2010	Åbo Akademi University	American Association for the Advancement of Science (AAAS)	science classic; science online; science signaling	full text materials	5672.87633129598	5115	4275.82275006405	5115
Finland	2010	Aalto University	American Chemical Society (ACS)	american chemical society; scifinderscholar	full text materials; reference database	113361.037820285	102213	85443.7283973209	102213
Finland	2010	University of Helsinki	American Chemical Society (ACS)	acs publications; scifinderscholar	full text materials	112627.944710805	101552	84891.17339482	101552
Finland	2010	University of Eastern Finland	American Chemical Society (ACS)	american chemical society / acs; scifinderscholar	full text materials; reference database	86112.3772956295	77644	64905.5682514121	77644
Finland	2010	University of Jyväskylä	American Chemical Society (ACS)	american chemical society (acs)	full text materials	15317.3206278649	13811	11545.1393941612	13811
Finland	2010	Helsinki Metropolia University of Applied Sciences	American Chemical Society (ACS)	american chemical society / acs	full text materials	1225.51873823696	1105	923.711464090083	1105
Finland	2010	Oulu University of Applied Sciences	American Chemical Society (ACS)	american chemical society	full text materials	613.313902484199	553	462.273701033317	553
Finland	2010	University of Oulu	American Chemical Society (ACS)	acs journals	full text materials	13897.7152116266	12531	10475.1387841745	12531
Finland	2010	Tampere University of Technology	American Chemical Society (ACS)	american chemical society journals; scifinder scholar chemical abstracts	full text materials	44486.8847313674	40112	33531.1441154583	40112
Finland	2010	VTT Technical Research Centre of Finland	American Chemical Society (ACS)	acs	full text materials	14882.5664691419	13419	11217.4517073528	13419
Finland	2010	Turku University of Applied Sciences	American Chemical Society (ACS)	american chemical society	full text materials	1225.51873823696	1105	923.711464090083	1105
Finland	2010	University of Turku	American Chemical Society (ACS)	american chemical society acs + arkisto; scifinder scholar/chemical abstracts	full text materials; reference database	83752.2832911333	75516	63126.6922373092	75516
Finland	2010	Åbo Akademi University	American Chemical Society (ACS)	american chemical society; scifinderscholar	full text materials; reference database	78529.6880528005	70807	59190.2603057253	70807
Finland	2010	University of Tampere	American Council of Learned Societies (ACLS)	humanities e-book	ebook package	1003.70539194973	905	756.523868779661	905
Finland	2010	University of Turku	American Council of Learned Societies (ACLS)	history e-book/acls humanities e-book	ebook package	1598.16515999951	1441	1204.58662421159	1441
Finland	2010	University of Eastern Finland	American Dietetic Association (ADA)	ada nutrition care manual (e-kirja)	reference resource	562.296832838135	507	423.82055411192	507
Finland	2010	Aalto University	American Mathematical Society (AMS)	mathscinet	reference database	8767.17251200288	7905	6608.08970464444	7905
