Country	Year	Publisher	Totalcost
Chile	2008	American Chemical Society (ACS)	235081.64526
Chile	2008	Annual Reviews	154363.97625
Chile	2008	Elsevier	2822954.15556
Chile	2008	Nature Publishing Group	357003.4215
Chile	2008	Oxford University Press (OUP)	123548.135205
Chile	2008	Science Magazine	0
Chile	2008	Springer	551461.35
Chile	2008	Wiley / Blackwell	1301101.63656
Chile	2009	American Chemical Society (ACS)	246801.555
Chile	2009	Annual Reviews	92075.96475
Chile	2009	Elsevier	3096124.60344
Chile	2009	Nature Publishing Group	642635.08782
Chile	2009	Oxford University Press (OUP)	130960.31817
Chile	2009	Science Magazine	0
Chile	2009	Springer	568005.1905
Chile	2009	Wiley / Blackwell	1376556.917835
Chile	2010	American Chemical Society (ACS)	262260.5535
Chile	2010	Annual Reviews	84963.921405
Chile	2010	Elsevier	3392184.313485
Chile	2010	Nature Publishing Group	681198.508815
Chile	2010	Oxford University Press (OUP)	138819.094425
Chile	2010	Science Magazine	109743.520755
Chile	2010	Springer	585045.346215
Chile	2010	Wiley / Blackwell	1452481.393275
Chile	2011	American Chemical Society (ACS)	275373.581175
Chile	2011	Annual Reviews	83130.538425
Chile	2011	Elsevier	3666430.563015
Chile	2011	Nature Publishing Group	728881.83489
Chile	2011	Oxford University Press (OUP)	142982.1756
Chile	2011	Science Magazine	128086.390905
Chile	2011	Springer	585355.43022
Chile	2011	Wiley / Blackwell	0
Chile	2012	American Chemical Society (ACS)	307319.46597
Chile	2012	Annual Reviews	160882.0686
Chile	2012	Elsevier	4130394.88554
Chile	2012	Nature Publishing Group	952409.91285
Chile	2012	Oxford University Press (OUP)	162776.021925
Chile	2012	Science Magazine	179155.328055
Chile	2012	Springer	745392.226095
Chile	2012	Wiley / Blackwell	1379753.585595
Chile	2013	American Chemical Society (ACS)	402543.28059
Chile	2013	Annual Reviews	140812.4916
Chile	2013	Elsevier	5732169.52275
Chile	2013	Nature Publishing Group	997881.06528
Chile	2013	Oxford University Press (OUP)	257952.826725
Chile	2013	Science Magazine	187454.369355
Chile	2013	Springer	837194.26824
Chile	2013	Wiley / Blackwell	1497614.436615
Chile	2014	American Chemical Society (ACS)	422670.71583
Chile	2014	Annual Reviews	152610.14835
Chile	2014	Elsevier	5932397.00262
Chile	2014	Nature Publishing Group	1045064.46
Chile	2014	Oxford University Press (OUP)	283426.724955
Chile	2014	Science Magazine	194828.58285
Chile	2014	Springer	939277.90044
Chile	2014	Wiley / Blackwell	1421422.366815
Chile	2015	American Chemical Society (ACS)	406752.46755
Chile	2015	Annual Reviews	143483.915025
Chile	2015	Elsevier	6406989.160605
Chile	2015	Nature Publishing Group	1095706.69263
Chile	2015	Oxford University Press (OUP)	291929.17413
Chile	2015	Science Magazine	200997.71769
Chile	2015	Springer	986241.614655
Chile	2015	Wiley / Blackwell	1464064.79373
Finland	2010	Aalto-yliopisto	106922.01423709
Finland	2010	Adato Energia Oy	474.246422427991
Finland	2010	AIP/APS	10643.9746733521
Finland	2010	Alexander Street Press	4785.57753540973
Finland	2010	American Association for the Advancement of Science (AAAS)	65729.7520404055
Finland	2010	American Chemical Society (ACS)	511712.892434945
Finland	2010	American Council of Learned Societies (ACLS)	2352.18204443143
Finland	2010	American Dietetic Association (ADA)	508.336017274823
Finland	2010	American Mathematical Society (AMS)	27315.7918237382
Finland	2010	American Society of Civil Engineers (ASCE)	10685.0827141968
Finland	2010	American Society Of Mechanical Engineers (ASME)	4391.54192438605
Finland	2010	Annual Reviews	19996.5552830948
Finland	2010	Artstor	2182.73670533982
Finland	2010	ASM International	6445.94133147897
Finland	2010	Association for Computer Machinery (ACM)	80217.8298503093
Finland	2010	Association of Asian Studies (AAS)	953.506020568752
Finland	2010	Beck	5469.37470263148
Finland	2010	Benjamins	1442.79197013505
Finland	2010	Bloomberg BNA	1679.41386377777
Finland	2010	BMJ Group	13507.500640486
Finland	2010	Brepols	3900.25070453464
Finland	2010	Brill	1094.87757566885
Finland	2010	Britannica	1304.42832046261
Finland	2010	BTJ Kirjastopalvelu	80582.7890421989
Finland	2010	Bureau van Dijk	40650.839219705
Finland	2010	Burgundy	5020.19415876734
Finland	2010	Cambridge University Press	1049.75899425393
Finland	2010	Cengage Learning	12580.0631336237
Finland	2010	Centre for Agriculture and Biosciences International (CABI)	1419.73136185631
Finland	2010	Centre for Economic Policy Research (CEPR)	3425.0016469641
Finland	2010	Chemical Abstracts Service (CAS)	128384.422098598
Finland	2010	Communication Institute for Online Scholarship (CIOS)	637.675950664276
Finland	2010	CompOpus	486.278044138638
Finland	2010	CSC - Tieteen tietotekniikan keskus	7238.02309409655
